index,index_0,index_1,index_2,index_3,index_4,id_0,id_1,id_2,id_3,id_4,statement_0,statement_1,statement_2,statement_3,statement_4,answer_0,answer_1,answer_2,answer_3,answer_4,output_answer_0,output_answer_1,output_answer_2,output_answer_3,output_answer_4,output_explanation_0,output_explanation_1,output_explanation_2,output_explanation_3,output_explanation_4,explanation_0,explanation_1,explanation_2,explanation_3,explanation_4,other_answer1_0,other_answer1_1,other_answer1_2,other_answer1_3,other_answer1_4,other_answer2_0,other_answer2_1,other_answer2_2,other_answer2_3,other_answer2_4,img_name_0,img_name_1,img_name_2,img_name_3,img_name_4
250,4023,5080,9060,8648,13535,2515822745.jpg#1r1c,125635185.jpg#2r5c,3326249355.jpg#4r1c,3351586010.jpg#0r1c,2923086298.jpg#1r1n,The dark haired man is unassembling the microphone and the dark haired woman throws her papers in the air.,Two children are sleeping.,A couple hugging each other on a building.,a skater sleeping on a couch ouside near the local gym,A woman is in her kitchen.,contradiction,contradiction,contradiction,contradiction,entailment,contradiction,contradiction,contradiction,contradiction,entailment,the man cannot be reading and unassembling the microphone simultaneously,the children cannot be sleeping and playing at the same time,a couple cannot be hugging each other on a building and leaning against a wooden sign at the same time,the skater cannot be sleeping and skating at the same time,a woman is in her kitchen because she is cleaning the kitchen,can't be unassembling and speaking the same time,two children cannot be sleeping and playing simultaneously,a couple standing is performing a different action as a hugging couple,he is either in the local gym or skates over the pavement,this woman is barefoot in a kitchen which indicates that it is probably her own,entailment,entailment,entailment,entailment,contradiction,neutral,neutral,neutral,neutral,neutral,2515822745.jpg%231r1c.jpg,125635185.jpg%232r5c.jpg,3326249355.jpg%234r1c.jpg,3351586010.jpg%230r1c.jpg,2923086298.jpg%231r1n.jpg
255,2019,1956,2845,8267,12130,3373544964.jpg#3r1c,2549946671.jpg#2r1c,3640348910.jpg#1r1e,6152180229.jpg#3r1e,7498713846.jpg#3r1n,Boy is pooping on the dog.,A girl is doing jumping jacks,The skateboarder is on a ramp near a painting.,People showing off a beverage.,The man is a Christian.,contradiction,contradiction,entailment,entailment,neutral,contradiction,contradiction,entailment,entailment,neutral,the boy cannot be pooping on the dog if he is petting it,a boy is not a girl,a skateboarder is on a ramp near a painting,three people are people,not all men are christian,one can't stand while pooping,a boy can not be a girl,when a skateboarder is on a ramp that means he/she is riding the ramp,drink can also be called as beverages,one would assume that since the man is praying he is a christian but there is no way of telling what religion he represents,entailment,entailment,contradiction,contradiction,entailment,neutral,neutral,neutral,neutral,contradiction,3373544964.jpg%233r1c.jpg,2549946671.jpg%232r1c.jpg,3640348910.jpg%231r1e.jpg,6152180229.jpg%233r1e.jpg,7498713846.jpg%233r1n.jpg
260,7222,5012,9296,1930,4445,2683823978.jpg#4r1c,2700788458.jpg#0r1c,2313551145.jpg#1r1e,3461041826.jpg#0r1e,172097783.jpg#3r1e,Two girls wash their feet.,A man wearing a dress sings with a woman.,There is a Coca-Cola sign on a building.,A white dog outside.,A boy on the lake.,contradiction,contradiction,entailment,entailment,entailment,contradiction,contradiction,entailment,entailment,entailment,the girls cannot wash their feet and fix their bikes at the same time,the man is either wearing a dress or a white t-shirt,a coca cola sign is on a building,a dog splashing in a river must be outside,a boy is a young man,girls who wash their feet cannot be working on their bicycles,a shirt is not a dress,the coca-cola sign is on the building,a white dog splashing in an outdoor stream implies the dog is outside,it states the boy is on the lake in both of them,entailment,entailment,contradiction,contradiction,contradiction,neutral,neutral,neutral,neutral,neutral,2683823978.jpg%234r1c.jpg,2700788458.jpg%230r1c.jpg,2313551145.jpg%231r1e.jpg,3461041826.jpg%230r1e.jpg,172097783.jpg%233r1e.jpg
265,8484,13069,1174,6523,7451,6066650935.jpg#1r1e,4439654945.jpg#2r3n,4606522320.jpg#2r1c,3449114979.jpg#3r1e,4677535056.jpg#1r1e,"Two people riding on contraptions with two wheels apiece, along a path containing other passersby.",A boy grins because he's in a crowd of people.,The men are wearing blue caps,The children are learning.,a man stands next to a taxi,entailment,neutral,contradiction,entailment,entailment,entailment,neutral,contradiction,entailment,entailment,"two people riding on contraptions with two wheels apiece, along a path containing other passersby is part of the overall description of them riding bikes down a road",a boy smiling doesn't mean he's in a crowd of people,the caps are either red or blue,the children are learning because they are in a classroom,a man stands next to a taxi is part of the overall description of him in front of a taxi,man and a woman implies two people,the picture does not indicate that the boy grins because he is in a crowd of people,men are in red caps cannot be wearing blue caps,the children learning are holding slates in classroom,the man next to the taxi is standing,contradiction,entailment,entailment,contradiction,contradiction,neutral,contradiction,neutral,neutral,neutral,6066650935.jpg%231r1e.jpg,4439654945.jpg%232r3n.jpg,4606522320.jpg%232r1c.jpg,3449114979.jpg%233r1e.jpg,4677535056.jpg%231r1e.jpg
270,2211,5880,10287,11470,8776,4712411908.jpg#1r1c,345284642.jpg#2r1e,3201517121.jpg#2r1n,3081330705.jpg#0r1n,95795877.jpg#3r1e,The woman is running down a dirt road.,There is a dog in a field,twins in long shirts are having a confrontation.,The man is currently in Alaska.,The man is not talking.,contradiction,entailment,neutral,neutral,entailment,contradiction,entailment,neutral,neutral,entailment,the woman cannot be running and standing simultaneously,a dog running through a field must be in a field,two men are not assumed to be twins,not all mountains are in alaska,the man is not talking because he is sleeping,"stretching & running are different activities. a round platform, & a dirt road, are different locations",the dog is black and the field is snowy,we cant assure that twins in long shirts are having a confrontation,we cant assure that the man is currently in alaska,sleeping means that you are not talking,entailment,contradiction,entailment,entailment,contradiction,neutral,neutral,contradiction,contradiction,neutral,4712411908.jpg%231r1c.jpg,345284642.jpg%232r1e.jpg,3201517121.jpg%232r1n.jpg,3081330705.jpg%230r1n.jpg,95795877.jpg%233r1e.jpg
275,6253,9767,8741,13072,983,506082695.jpg#2r1c,3691394196.jpg#4r1n,4614358086.jpg#2r1c,2409312675.jpg#4r1n,7330749240.jpg#3r1c,Three bears eat lettuce in the woods.,The man is clearing his throat.,A policeman is driving away from the site of a protest.,A truck drives up a muddy hill after a storm.,The trucks are racing around the track.,contradiction,contradiction,contradiction,neutral,contradiction,contradiction,contradiction,contradiction,neutral,contradiction,there can be either two or three people. they can be either climbing or eating lettuce,the man cannot be juggling and clearing his throat simultaneously,the policeman cannot be driving away and standing at the same time,a truck can drive up a hill without it being after a storm,the cars cannot be trucks,two women aren't three bears,"to clear a throat, more than usually one's lips/mouth are/is closed. this man is not clearing his throat",either the policeman watches protesters or is driving away from the protest. he cannot do both simultaneously,"the truck may be driving after a storm, but we don't know for sure",cars and trucks are not the same thing,entailment,entailment,entailment,entailment,entailment,neutral,neutral,neutral,contradiction,neutral,506082695.jpg%232r1c.jpg,3691394196.jpg%234r1n.jpg,4614358086.jpg%232r1c.jpg,2409312675.jpg%234r1n.jpg,7330749240.jpg%233r1c.jpg
280,12079,1882,3952,10211,6872,2910885196.jpg#2r1n,3024022266.jpg#4r2c,3310851569.jpg#3r1e,3134644844.jpg#4r1n,3036894037.jpg#2r1c,The cake is a birthday cake.,the boy is on the moon,A group of people are on stage.,A tall person playing guitar.,Two cops are sleeping on the streets.,neutral,contradiction,entailment,neutral,contradiction,neutral,contradiction,entailment,neutral,contradiction,not all cakes are birthday cakes,the boy cannot be on the moon and surfing at the same time,a woman and two men are a group of people,not all men are tall,the cops cannot be sleeping and standing at the same time,"i am unable to ascertain that the cake is in fact a birthday cake. i don't believe it to be one, and i think it is unclear exactly what this cakes designation is",it is not possible to surf as it requires water and there is not a body of water on the moon,four people constitutes a group of people,i can not see if he's a tall person playing the guitar,two police officers cannot be sleeping while they are patrolling the streets,entailment,entailment,contradiction,entailment,entailment,contradiction,neutral,neutral,contradiction,neutral,2910885196.jpg%232r1n.jpg,3024022266.jpg%234r2c.jpg,3310851569.jpg%233r1e.jpg,3134644844.jpg%234r1n.jpg,3036894037.jpg%232r1c.jpg
285,9847,4280,9806,10143,6827,3597715122.jpg#0r1n,314800643.jpg#0r1c,4712411908.jpg#0r3n,3553056438.jpg#2r1n,549520317.jpg#2r1e,A group of student standing outside of ice cream place.,A girl looks past the camera at her sister,a lady does stretching exercises on top of a concrete sphere with an 18th century building backdrop surrounding the sphere while shes filmed for a movie,The kids are siblings,A child in a crimson coat cavorts outside.,neutral,contradiction,neutral,neutral,entailment,neutral,contradiction,neutral,neutral,entailment,the people are not necessarily student,a boy is not a girl,a lady stretching on top of a concrete sphere with an 18th century building backdrop surrounding the sphere does not imply that shes filmed for a movie,not all kids are siblings,a child in a red coat is a child in a crimson coat,"we cannot confirm the subjects are students, only that they are outside of an ice cream place",a man who looks past the camera cannot be a girl,"we cant assure that, it was an 18 th century building and she was filmed for a movie",the two kids may not be siblings. they could be friends,plays outside is the same as if someone cavorts outside,entailment,entailment,entailment,entailment,contradiction,contradiction,neutral,contradiction,contradiction,neutral,3597715122.jpg%230r1n.jpg,314800643.jpg%230r1c.jpg,4712411908.jpg%230r3n.jpg,3553056438.jpg%232r1n.jpg,549520317.jpg%232r1e.jpg
290,7838,4214,10262,8546,125,7796487260.jpg#1r1e,118939364.jpg#0r1e,1313961775.jpg#3r1n,4145119743.jpg#0r1c,456299217.jpg#3r5c,The women are dancing.,The woman is using the sewing machine.,A little girl enjoys her summers at the lake,The people are outside playing volleyball.,There is a boy watching TV in his living room.,entailment,entailment,neutral,contradiction,contradiction,entailment,entailment,neutral,contradiction,contradiction,the women are dancing because they are dancing in a skate park,a woman is using a sewing machine to sew,just because a girl is floating in the lake doesn't mean she enjoys summers at the lake,the people cannot be in a store and outside playing volleyball simultaneously,the boy cannot be sitting on a fountain and watching tv in his living room simultaneously,women are beautiful,when a person is sewing on a sewing machine then you are using a sewing machine,we do not know if this is a lake,one can not be outside playing and at a store checkout simultaneously,he refers to a girl and not a boy,contradiction,contradiction,entailment,entailment,entailment,neutral,neutral,contradiction,neutral,neutral,7796487260.jpg%231r1e.jpg,118939364.jpg%230r1e.jpg,1313961775.jpg%233r1n.jpg,4145119743.jpg%230r1c.jpg,456299217.jpg%233r5c.jpg
295,3717,12012,202,5904,5509,3279228339.jpg#1r1c,1286805224.jpg#1r1n,4752721674.jpg#1r1e,2700788458.jpg#3r1e,21514026.jpg#1r1c,A woman drinks a glass of milk.,A woman is smiling to the cute dog she saw outside.,Cameras hidden behind a barricade.,A man and woman are wearing shorts.,The man is just waking up from sleeping.,contradiction,neutral,entailment,entailment,contradiction,contradiction,neutral,entailment,entailment,contradiction,a man is not a woman,a woman smiling outside a shop is not assumed to be smiling to the cute dog she saw outside,cameras are hidden behind a barricade is part of the overall description of the scene,a man and woman are wearing shorts because they are wearing shorts,a man cannot be standing and waking up at the same time,there either has to be a man or a woman,the woman is smiling but there is no evidence that a dog is the reason,"cameras implies a ""group of cameras"".if the cameras are recording from behind the barricade then they would be hidden behind the barricade",people in a wooded area would be wearing something,you cannot be ready to sit down if you are just waking up,entailment,entailment,contradiction,contradiction,entailment,neutral,contradiction,neutral,neutral,neutral,3279228339.jpg%231r1c.jpg,1286805224.jpg%231r1n.jpg,4752721674.jpg%231r1e.jpg,2700788458.jpg%233r1e.jpg,21514026.jpg%231r1c.jpg
